voxel_id,n_points,linearity,planarity,scattering,omnivariance,sum_ev,anisotropy,eigentropy,change_curvature,z_range,plane_std,label,scattering_log2,plane_std_log2,pred_label
36373,53,0.5203529261385732,0.3160807786318107,0.16356629522961624,0.21004514362929483,0.8062469146846598,0.8364337047703837,0.8922717781995655,0.09954050904545297,1.990000000000002,0.2844555442550816,unlabeled,-2.6120437801454726,-1.81371982258822,tree
36374,28,0.5586972102986992,0.44051839963844913,0.0007843900628515948,0.02229161053459172,0.4578361111515998,0.9992156099371484,0.6416820009354232,0.0005439269371910503,0.07000000000000028,0.015496305582476366,unlabeled,-10.314303035129834,-6.011838784643157,terrain
36399,68,0.7404090350485381,0.25379526574684536,0.005795699204616647,0.04393195137791566,0.4851454291044197,0.9942043007953834,0.6107723913415618,0.004580180405553713,0.33999999999999986,0.04669905415947975,unlabeled,-7.430552659713256,-4.420431966701296,tree
36400,62,0.664318692549236,0.2567704652205817,0.0789108422301822,0.1261358602919668,0.5985703562918551,0.9210891577698178,0.7546445634062539,0.055783458326119036,1.0500000000000007,0.18126091145425605,unlabeled,-3.6636143693237235,-2.4638522913110292,tree
36401,45,0.8320412388296435,0.10320864993874994,0.0647501112316064,0.06899472886977871,0.38387990056815574,0.9352498887683935,0.5963554558464275,0.05252668548206297,0.7299999999999969,0.14817412954235318,unlabeled,-3.948951237831575,-2.75462477610275,tree
36427,16,0.4819409130371431,0.41783960669123166,0.10021948027162521,0.11336363244558784,0.49175624994968425,0.8997805197283748,0.7593385828926567,0.06192968398691263,1.1500000000000021,0.16897015958018452,unlabeled,-3.318750738378899,-2.565151070162836,tree
36428,139,0.3091691350276102,0.6561413714630381,0.03468949350935176,0.11360305009237666,0.6799132669965847,0.9653105064906483,0.7798411455927464,0.02010378685990961,0.7100000000000009,0.11498838348343063,unlabeled,-4.849315825125349,-3.1204274259162825,tree
36453,26,0.7299414291193733,0.2664151804947339,0.0036433903858928175,0.08173185312849754,1.0466575384563086,0.9963566096141072,0.5128143356872882,0.002860473247815346,0.3099999999999987,0.053654305580556,unlabeled,-8.100106776228708,-4.220135354183345,tree
36454,94,0.3709683432694158,0.4471455234549353,0.1818861332756489,0.16769337153664632,0.6255431423022885,0.818113866724351,0.8727443703644499,0.10043864734192207,1.6000000000000014,0.26373650075388416,unlabeled,-2.4588846047619795,-1.9228253727364941,tree
36480,150,0.030477425692384194,0.9683507041194176,0.0011718701881982304,0.03676040275777056,0.6942572270694067,0.9988281298118018,0.7376756066269993,0.0005946483441262473,0.20000000000000284,0.020187188801672414,unlabeled,-9.735740938138099,-5.630344705754951,terrain
36507,87,0.6317751147865495,0.31786089989304284,0.05036398532040778,0.11861418599872833,0.6356949670877184,0.9496360146795922,0.7425720017493226,0.0355028763911381,0.9499999999999993,0.14944250760906466,unlabeled,-4.311435096132864,-2.7423278726365736,tree
36508,78,0.1621117553412662,0.7425395618391166,0.09534868281961725,0.07855522006457138,0.3526088432403198,0.9046513171803828,0.6678989288905616,0.04932074360072713,0.5300000000000011,0.13102912400972297,unlabeled,-3.3906280503486634,-2.932029567374055,tree
36534,125,0.3843499149051955,0.6126693829352045,0.002980702159600048,0.04558321187713881,0.602654695161501,0.9970192978403999,0.7130615779789244,0.0018414960243379843,0.28999999999999915,0.03449475212619026,unlabeled,-8.38964812976647,-4.857437473211305,tree
36535,31,0.8252551698110836,0.16613538504596412,0.008609445142952171,0.08242965080116692,0.8512786559140905,0.9913905548570479,0.5291215741832308,0.007275458687583373,1.9500000000000028,0.07655144179755757,unlabeled,-6.859696460637074,-3.7074077935905683,tree
36536,23,0.7524722117650849,0.24503232850467033,0.002495459730244693,0.010074635198633055,0.14787312255008345,0.9975045402697553,0.3582976544250222,0.0019963306556953293,0.3200000000000003,0.016803830164342903,unlabeled,-8.645900649552203,-5.894980227450047,building
